Linear Power,Log Power,Corrected Power
3106.635742,3278.853199,3278.853199
3181.426031,3357.975945,3357.975945
3237.313287,3419.641233,3419.641233
3308.405172,3482.438936,3482.438936
3366.34712,3548.615876,3548.615876
3442.781188,3622.863916,3622.863916
3518.804332,3694.02661,3694.02661
3578.390048,3754.788144,3754.788144
3657.289765,3847.809532,3847.809532
3740.709793,3918.470069,3918.470069
3806.048643,3962.979487,3962.979487
3889.057761,4071.364814,4071.364814
3950.28727,4125.36955,4125.36955
4039.049525,4219.620964,4219.620964
4104.799355,4297.109408,4297.109408
4199.314755,4376.020841,4376.020841
4265.475547,4439.634883,4439.634883
4365.744098,4532.525867,4532.525867
4468.067359,4636.079524,4636.079524
4571.212521,4759.886105,4759.886105
4656.687418,4847.295924,4847.295924
4762.298256,4958.041089,4958.041089
4843.663826,5055.430313,5055.430313
4957.904405,5183.925872,5183.925872
5068.446585,5309.020536,5309.020536
5155.565354,5392.961443,5392.961443
5271.449791,5498.893698,5498.893698
5363.499871,5631.588957,5631.588957
5483.493765,5771.106521,5771.106521
5614.1721,5921.507258,5921.507258
5704.989468,6015.132223,6015.132223
5831.147577,6140.987639,6140.987639
5966.346395,6261.613189,6261.613189
6063.738897,6372.600582,6372.600582
6200.581584,6477.421067,6477.421067
6338.65716,6646.229123,6646.229123
6447.556103,6709.081352,6709.081352
6591.795906,6862.362504,6862.362504
6738.090492,7005.944694,7005.944694
6855.619352,7143.560391,7143.560391
7005.20162,7270.180394,7270.180394
7121.497791,7385.12931,7385.12931
7278.888107,7568.089425,7568.089425
7436.689475,7678.106636,7678.106636
7557.095282,7819.106428,7819.106428
7728.046987,8037.997399,8037.997399
7896.944119,8180.471403,8180.471403
8028.445631,8335.925686,8335.925686
8196.932068,8510.33956,8510.33956
8331.721321,8634.054296,8634.054296
8513.358204,8847.955546,8847.955546
7893.550209,9004.786159,9004.786159
8294.212185,9181.664655,9181.664655
8469.270675,9391.436682,9391.436682
8640.630759,9599.975543,9599.975543
8775.006666,9806.989317,9806.989317
8954.996424,10012.1826,10012.1826
9106.631646,10183.25735,10183.25735
9294.018279,10415.91269,10415.91269
9437.023884,10547.45475,10547.45475
9639.204237,10707.4999,10707.4999
9846.315846,10897.29119,10897.29119
10004.11519,11076.53691,11076.53691
10218.62369,11279.9453,11279.9453
10380.12149,11422.39923,11422.39923
10598.32847,11690.69869,11690.69869
10753.66226,11823.49237,11823.49237
10991.59423,12101.2131,12101.2131
11159.25615,12238.66979,12238.66979
11391.02414,12502.58456,12502.58456
11635.12026,12748.1696,12748.1696
11801.54945,12949.73146,12949.73146
12046.87845,13179.26662,13179.26662
12305.7684,13471.9154,13471.9154
12503.01792,13659.18308,13659.18308
12753.2783,13944.97678,13944.97678
12966.55442,14183.25012,14183.25012
13229.14299,14480.00902,14480.00902
13504.05974,14755.17455,14755.17455
13723.50005,14950.89582,14950.89582
14008.2794,15263.71638,15263.71638
14241.28074,15553.77486,15553.77486
14534.68991,15919.11614,15919.11614
14841.6601,16130.27667,16130.27667
15064.79913,16467.77373,16467.77373
15384.0976,16822.8853,16822.8853
15619.56488,17024.65482,17024.65482
15947.49323,17424.5456,17424.5456
16288.98265,17833.82942,17833.82942
16526.91578,18002.4814,18002.4814
16863.47415,18379.15113,18379.15113
17126.06374,18622.94313,18622.94313
17492.20992,19060.37612,19060.37612
17844.79527,19495.8466,19495.8466
18101.22108,19717.2987,19717.2987
18463.66922,20129.84804,20129.84804
18749.68285,20460.95756,20460.95756
19121.99383,20836.7013,20836.7013
19494.305,21245.99199,21245.99199
19787.71591,21568.37558,21568.37558
20188.38226,21881.91589,21881.91589
20475.62934,22227.89246,22227.89246
20883.693,22593.51218,22593.51218
21311.48203,23167.78195,23167.78195
21617.22191,23416.2453,23416.2453
22045.0114,23891.1925,23891.1925
22486.36223,24375.773,24375.773
22813.06066,24730.1247,24730.1247
23261.80896,25231.72117,25231.72117
23594.67191,25518.32697,25518.32697
24059.44753,25970.64272,25970.64272
24410.80333,26397.82602,26397.82602
24749.83105,26798.38311,26798.38311
25231.86717,27222.09461,27222.09461
25715.13652,27721.99996,27721.99996
26080.05446,28266.53761,28266.53761
28189.8087,28767.56595,28767.56595
28469.24481,29222.41248,29222.41248
28884.28963,29777.73127,29777.73127
29410.28706,30172.72151,30172.72151
29858.20679,30746.09926,30746.09926
30408.86045,31212.63673,31212.63673
31004.71707,31785.82451,31785.82451
